article_id,title,sentence,label
270,Obama's terror strategy is failing: US must heed lessons of 9/11.,"using targeted, high quality videos, magazines and literature copied in several languages to spread their message around the world",anecdote
192,"Paris attacks: unless we overcome fear, self-censorship will spread.",Anyone hoping to repeat the exercise by taking apart the Koran and the hadiths today will be restrained by the fear that they will end up as dead as satirists who try to do the same with anti-clerical humour,assumption
59,CIA torture report: Debunking the myths.,"In a recent Pew Research report, half the US public polled thought torture could be justified sometimes or even often",statistics
276,"What do black and white, rich and poor Americans have in common with one another, anyhow?",This is the human condition,assumption
141,Our unkept promise to Afghan women.,"In August, the World Food Programme announced that a $40m funding shortfall meant that they were forced to cut food rations",anecdote
50,"Christian ex-fire chief fires back at Atlanta mayor, files discrimination complaint.","Christian ex-fire chief fires back at Atlanta mayor, files discrimination complaint.",title
90,Fossil fuels are no catastrophe. They have made our lives better.,"Fossil fuels are a little like antibiotics, says Epstein",testimony
125,Iran: A not so unlikely ally.,"The shah's shopping list of US-supplied aircraft boosted the economy of the US defence industry, as well as served US geopolitical interests during the Cold War",assumption
259,Treating Africans with an untested Ebola drug.,alleging that Trovan was used without their informed consent,testimony
27,"Boko Haram's deadly advance must be stopped, but how?",So perhaps what is its endgame is the wrong question,assumption
103,The Guardian view on Circle and Hinchingbrooke: a failure that casts a shadow over the whole Tory agenda.,At least one study suggests a lack of expertise in Whitehall means that contracts go to the shiniest rather than the most competent contender,assumption
76,Eight ways to kill your enemies with kindness.,They'll learn how to crochet quinoa!,assumption
266,United States polarising - inequality and injustice escalating.,"Here, in the aftermath of the Great Recession, the top 1 percent earned 95 percent of total income gains since 2009, compared to the bottom 99 percent who earned a meager 5 percent of gains",statistics
279,Here's what happens when oil prices crash - and it's not pretty for producers.,Some recovered better than others,assumption
61,Confessions of a teenage shoplifter.,we sent a couple of girls into town to empty WH Smith of its stock,anecdote
86,Five reasons why European Central Bank's QE won't save continent's dying economies.,The Fed enjoyed some success boosting U.S  growth,assumption
66,The dawn of Kim Jong-un's rule.,"At present, the young marshal has pinned his hopes on Russia - currently itself on a collision course with the West",assumption
88,Foie gras is exactly as delicious as you've heard. It should nonetheless be banned.,Tenenbaum wasn't ad-libbing,assumption
66,The dawn of Kim Jong-un's rule.,Kim's North Korea is increasingly a place quite different from the North Korea of his father,assumption
30,"Buffalo schools spend $5.4 million on free plastic surgeries for teachers, despite massive deficit.","The school board has been unwilling to impose a new labor agreement without the rider, as allowed by law",assumption
283,Where's the attention from Sharpton & Jackson for Black lives in St  Louis beating?,whom police arrested after the murder,anecdote
260,Turkey's red line.,"On the other hand, they have always had clear red lines when it came to Kemalism",assumption
37,The push for a global audience could be a catastrophe for British sitcoms.,The carcinogenic whiff wanders all the way up the side street to our house,anecdote
67,A defining moment for the French right.,"Two years ago, her own father vehemently criticised Charlie Hebdo",assumption
118,Immigration: Congress must reassert its authority and preserve our Constitution.,"did President Obama promise a ""case-by-case"" determination",assumption
80,The fantasy of an Iran-US partnership.,Even the subsequent death of the US ambassador to Libya did not change US policy in this regard,assumption
228,A Russian bank and French nationalism.,"who don't want Europe to be enslaved by the US and the ""Euro-bureaucracy""",assumption
149,Let's recruit academically gifted students from poor neighborhoods the same way we seek out star athletes.,"to find low-income, exceptional students who beat the odds",anecdote
27,"Boko Haram's deadly advance must be stopped, but how?",some of it has been declined,assumption
22,Forget the bad science. Here are my top 5 dos and don'ts of dating.,5) Don't talk about your ex(es) all night,assumption
209,Privatising Mexico's oil industry spells disaster.,"Mexico also suffers from the third largest illicit economy in the world, according to the Global Financial Integrity Report",statistics
109,"The hapless, harmless Palestinian leader?","Is it mere coincidence, then, that Abbas has been lacklustre in campaigning for Barghouti's release from Israeli jail; or in pursuing and implementing national unity deals with Hamas that call for elections?",assumption
58,"Punishment, not apology after CIA torture report.","containing details of how one prisoner, Abd al-Rahim al-Nashiri (one of the three men waterboarded, along with Abu Zubaydah and Khalid Sheikh Muhammad), was physically abused and threatened with a gun and power drill while hooded at a ""black site"" in Thailand",testimony
84,Ferguson unrest: Make protesters pay for riot damage.,"it is one that should be applied to anyone convicted of riotous behavior, destruction of property and looting",assumption
47,We are breaking promises to our children.,"They are fighting child marriage, child labour, child trafficking and discrimination against girlsand the principal way to end exploitation is to deliver free compulsory education",assumption
249,Student arrested after teacher takes smartphone: Do our devices own us?,The fact that the hardware is outside our bodies(for now) does not mean the integration has not occurred,assumption
298,Young v  UPS: Supreme Court should uphold rights of pregnant workers.,Both pro-life and pro-choice groups and members of Congress advocated for the passage of the PDA,anecdote
28,The big orange shed that holds the key to Britain's economic recovery.,"I grew up here, and have seen this area slide within three decades from a place of working-class prosperity to one of the most deprived parts of the country",anecdote
166,"New Year's Resolution for the VA: Lose the 'ICARE' pin, embrace real reform.","""We pass historic VA reforms through Congress, and all we got was a lousy ICARE lapel pin.""",testimony
66,The dawn of Kim Jong-un's rule.,North Korean leaders obviously believe that Russia under Vladimir Putin will behave like the Soviet Union once did and shower North Korea with aid grants as a reward for Pyongyang's militant anti-Americanism,assumption
181,"Obama's State of the Union fantasy world: We need a real national security strategy, VA reform.",they take to the campaign trail for 2016,assumption
104,The Guardian view on counter-terror cooperation: walking the line.,"In the Middle East and north Africa, many regimes continue to show complete disregard for basic human rights and legal procedures",assumption
164,"New Congress: My fellow Republicans, here's your chance to prove you can lead.","We Republicans have a slew of talented candidates who, over the next few months, will throw their hats into the ring and begin the process of running for the White House",assumption
230,Russia is part of the solution and the problem.,Russia is part of the solution and the problem.,title
165,Try my new NHS helpline. You've nothing to lose but the will to live...,This will thin down the numbers considerably - for various reasons,assumption
217,The readers' editor on... mistakes made in an article about Amal Clooney and the 'al-Jazeera three' jailed in Egypt.,There is a clear link,assumption
208,"President Obama, here's how you build a legacy.",His expected veto decision on the Keystone pipeline is to appease the environmentalists,assumption
23,"Beating your partner is a crime, not an illness.",none did so after taking part,statistics
220,The real threat to the Indian state.,The latest Global Terrorism Index released by international think tank Institute of Economics and Peace reveals that while jihadists were responsible for 15 percent of terrorism-related killings in India; Maoists accounted for the lion's share of casualties - a whopping 50 percent - in 2013,statistics
208,"President Obama, here's how you build a legacy.","To come from a broken home, abandoned by his father as an infant, to be raised by grandparents from the Midwest and to achieve, as a black man, the highest office in the land is inspirational",assumption
117,"If Greece turns left, will Europe follow?",Six years of continuing recession have resulted in a loss of 25 percent of GDP and a rise of unemployment to 27 percent,statistics
33,Cameron would rather look 'frit' than face a bashing from Farage.,an empty podium would not look good,assumption
183,The Observer view on the Paris attacks.,"This right, though never absolute, was established through centuries of struggle and is still far from fully accepted around the world",assumption
250,Sustaining Iran's regional ambitions at all costs.,Iran reportedly lost some $26bn in oil revenue in 2012,statistics
262,Chances of a TV election debate? Choose between zilch and nada.,Mr Cameron had demanded them because that is what opposition leaders nearly always do,assumption
172,North Korea: An 'act of war' over a movie?,which also claims to have been behind the hack attack on Sony,anecdote
172,North Korea: An 'act of war' over a movie?,which is quite a coup for whoever orchestrated the assault on the company,assumption
109,"The hapless, harmless Palestinian leader?","during which time the goals he claims to espouse not only remain unrealised, but are more remote than ever",assumption
71,Does Europe remember the Geneva Convention?,The Spanish Guardia Civil (national law enforcement agency) has often been criticised for handing over migrants to Morocco,assumption
45,Charlie Hebdo: 'Us or them'.,Deadly terrorism seeks to stamp out the possibility of difference ,assumption
33,Cameron would rather look 'frit' than face a bashing from Farage.,"just as importantly, please, please let's have the Greens in the room too",other
62,Connecticut Supreme Court saves teen's life.,Chemicals are introduced into the diseased body to attack the cancer cells,common-ground
257,Town told to keep Christ out of Christmas parade.,the FFRF sent the mayor a threatening letter,anecdote
7,Afghanistan conference won't rock the boat.,They must also adapt a fundamentally new approach to dispensing their generous assistance to Afghanistan,assumption
217,The readers' editor on... mistakes made in an article about Amal Clooney and the 'al-Jazeera three' jailed in Egypt.,I am not able to establish any more details about them,assumption
132,Is it not time to dismantle the CIA?,It's not as if we weren't warned about the CIA,assumption
249,Student arrested after teacher takes smartphone: Do our devices own us?,They will demand attention,assumption
194,The Paris attackers hijacked Islam but there is no war between Islam and the west.,"there are hundreds being killed day in, day out in Syria and Iraq",anecdote
114,The hostage rescue dilemma.,"Those demands have not been made public, but likely involved payment of a ransom or release of AQAP captives, something the US is prohibited by law from doing",assumption
216,Rape culture on campus: The silence of men.,"That power was on display when UVA made a choice about hiring an ""independent"" investigator to look into the gang rape allegations",assumption
217,The readers' editor on... mistakes made in an article about Amal Clooney and the 'al-Jazeera three' jailed in Egypt.,"During the course of it, Clooney revealed that a report which she co-authored had pinpointed flaws in the Egyptian judicial system that subsequently contributed to the three men's conviction",anecdote
48,Children in our towns and cities are being robbed of safe spaces to play.,But no such thing was in the plans,assumption
291,Why Tunisia succeeded where Egypt failed.,"it could not have been otherwise, given the Herculean task of building a new governing system on the still functioning body of Ben Ali's mafia state",assumption
296,Will the awful power of the word 'slut' defeat feminists' efforts to reclaim it?,it didn't last,assumption
135,It used to be rude not to answer the phone. Now you're rude if you do.,everyone else is trying to make drooping eyelids look like they're concentrating hard,assumption
163,NATO's nuclear relapse.,because their short range provides the missing link between a localised conventional war and a highly improbable global exchange of strategic nuclear missiles between Moscow and Washington,assumption
12,Another climate change summit: Don't give up.,"At Lima, we need governments to make sure that the direction is right",assumption
38,So Catholics needn't breed like rabbits. Then let's drop the contraception con.,"We thought that, whatever else wasn't clear, one thing we did know was that the church doesn't approve of contraception",assumption
69,Did Coltrane say 'Allah Supreme'?,"""A Love Supreme"" is widely recognised as John Coltrane's masterwork, and a milestone recording in the history of jazz",assumption
58,"Punishment, not apology after CIA torture report.","In the days and weeks to come, there will be concerted efforts by the CIA and by former Bush administration officials to defend their actions",assumption
223,Responding to the massacre: Revenge or resolution?,"All four are a direct result of the chaos created by the US' war in the region and the supply of drugs, arms and men that such a war invariably engenders",assumption
166,"New Year's Resolution for the VA: Lose the 'ICARE' pin, embrace real reform.","McDonald, and the entire VA, want to show that they truly ""care"" about veterans in 2015",assumption
244,Southern Baptist Convention President: The spiritual state of our union.,I love America and believe each citizen needs to be involved in charting the future of our nation,assumption
279,Here's what happens when oil prices crash - and it's not pretty for producers.,people tend to be happier,assumption
281,What I wish Obama had said in his State of the Union address.,"Does the President delude himself when he takes credit for oil production, lower deficits, etc.?",assumption
4,? 300 for a job reference is the latest outrage in the exploitation of interns.,the idea that you'd have to pay someone to say nice things about you doesn't seem so far-fetched,assumption
132,Is it not time to dismantle the CIA?,Perhaps each of them have understood there are battles that not even a president could win,assumption
268,Why Washington should fear the silence of the anti-war movement.,Assassination and missile strikes have increased,assumption
205,"Pope Francis, Salman Rushdie and Charlie Hebdo.",his outlook was intended to be sweeping in its generality,assumption
44,Charlie Hebdo and western liberalism.,One cannot attempt to comprehend the actions of mass murderer Anders Breivik or the recent report on the US government's torture of Muslim prisoners solely against the backdrop of western liberal ideals,assumption
130,I survived the Bhopal gas tragedy.,I had no one next to me,anecdote
187,Oscars delirium: a seasonal condition in which even critics become starstruck.,patients can fall in love with their psychoanalysts,assumption
171,Nigeria's old impeachment games.,"And the best way to get this, I suspect, is to blackmail the president with impeachment or removal",assumption
151,Madonna's cultural appropriation confirms what a cliche she has become.,"it also seems that as the world around her has got sharper, she has got duller and more derivative",assumption
54,"CIA interrogation report: Democrats want to punish America, blame Bush.",The CIA's actions in the immediate aftermath of September 11 attacks have long since ceased,assumption
263,This UK antisemitism survey would have shocked my great uncle Alex.,"according to some reports, it was actually Nariman House that was the terrorists' main target",assumption
194,The Paris attackers hijacked Islam but there is no war between Islam and the west.,But it is not only westerners,assumption
256,Torturing Muslims is an 'awesome' way to get things done.,The Ferguson Police Department has utterly failed to de-escalate tensions at every possible opportunity,assumption
13,Anxious Britain will find no succour in a TV election debate.,Ofcom needs to have a word with itself,assumption
165,Try my new NHS helpline. You've nothing to lose but the will to live...,"Not any time you don't need an ambulance, obviously",common-ground
239,Sia's video: let's be wary of seeing paedophilia everywhere.,"which appears to follow on from the infamous 2013 legislation that made the promotion of ""non-traditional lifestyles"" illegal",assumption
48,Children in our towns and cities are being robbed of safe spaces to play.,almost all of it is allocated to cars,assumption
25,Beyond New Year's Resolutions: Fifteen ways to improve your life in 2015.,I promise,other
299,#YouTubeAsksObama: GOP desperately needs a 'Glozell' moment.,Millions of people walk into the voting booth and vote for someone they like,assumption
183,The Observer view on the Paris attacks.,Muslim world leaders can help halt the cycles of violence and confrontation,assumption
297,What happens on tour stays on tour': how a week on a young Tory campaign bus might look.,"The rest of the coach has just finished playing""identify the Ayn Rand quote""",anecdote
54,"CIA interrogation report: Democrats want to punish America, blame Bush.",This is the apology tour on steroids,assumption
130,I survived the Bhopal gas tragedy.,We were asking then Prime Minister Manmohan Singh to set up an empowered commission to look into the issues related to Bhopal,anecdote
194,The Paris attackers hijacked Islam but there is no war between Islam and the west.,(he is hoping they will be helped to leave),assumption
139,Je Suis Charlie? Media need to stop covering for murderous Muslims.,"When Tom Clancy's ""Sum of All Fears"" hit the big screen, the terrorists who nuke an American city were no longer dangerous Islamists as they were in the book",anecdote
156,Max Factor can't claim credit for Marilyn Monroe.,She went on to be a popular model on the cover of dozens of magazines,anecdote
92,The freedom to take offence.,"As the new edition of Charlie Hebdo hits the stands with another cartoon cover depicting a weeping Prophet Muhammad under the heading""All is forgiven""",anecdote
22,Forget the bad science. Here are my top 5 dos and don'ts of dating.,This relieves the pressure to be attractive and the crushing disappointment that comes with it,assumption
187,Oscars delirium: a seasonal condition in which even critics become starstruck.,"Confectionery lovers are enraged at news that the US owners of Cadbury have been tampering with the recipe for the Cadbury's Creme Egg, and at what they say is an outrageous lack of any consultative process with the consumer",assumption
255,"Torture is a crime, time to end the impunity.",they should be prosecuted and punished for them,assumption
11,"Amnesia, not immigration, is our problem.",when the European elections last year produced a surge of populist xenophobic parties,assumption
64,The crisis in Iraq: Was the rise of ISIL a surprise?,because the war with Iran had ended,common-ground
168,NFL 2015: Why I hope Ray Rice gets back into the game.,Rice is guilty of a single act of inexcusable violence,assumption
67,A defining moment for the French right.,This motto attributed to French theologian and writer Francois Fenelon at the end of the 17th century was popularised during the French Revolution,anecdote
44,Charlie Hebdo and western liberalism.,"they should consider the role that anti-Muslim cultural production plays in facilitating their own abuses of human rights, and radicalising their own citizens",assumption
205,"Pope Francis, Salman Rushdie and Charlie Hebdo.",We can be thankful once more for the moral clarity of Pope Francis,assumption
194,The Paris attackers hijacked Islam but there is no war between Islam and the west.,who was among those killed on Wednesday,anecdote
71,Does Europe remember the Geneva Convention?,"it would have been too difficult for my mother to lose both her sons on the same night"" he added",testimony
233,Saudi's bold political gambit.,a thaw in relations occurred after Iraq's president visited Riyadh and met with the king in November 2014,assumption
62,Connecticut Supreme Court saves teen's life.,"Yes, the chemicals also harm other normal cells",common-ground
279,Here's what happens when oil prices crash - and it's not pretty for producers.,"In the US, citizens will pay significantly less for gasoline than they have over the past five years",anecdote
219,"The Real State of Our Union: More entitlements, taxes and unemployment.",The number of young people--and especially young men--starting small businesses has fallen dramatically,assumption
262,Chances of a TV election debate? Choose between zilch and nada.,"When the negotiations finally got under way, I am told, and by a variety of different sources, that the Conservatives were determined to block any progress toward agreement",anecdote
54,"CIA interrogation report: Democrats want to punish America, blame Bush.", the report concludes that the intelligence gathered from CIA's actions wasn't effective,assumption
24,Bedblocking' - the result of social care policy that puts profits ahead of people.,there' s nothing there in the way of provision for it,assumption
124,The Iranian opportunity.,The Iranian opportunity.,title
8,Is Afghanistan ready for the drawdown?,This is done by building the capacity of the forces; providing adequate resources such as fire power and particularly air power; assisting in intelligence gathering; and logistics support,assumption
24,Bedblocking' - the result of social care policy that puts profits ahead of people.,you can afford them,assumption
220,The real threat to the Indian state.,"Earlier this month he flew to Raipur, capital of Chattisgarh state",anecdote
2,2015: Will America continue its slow march toward destruction of liberty?,"The leadership of both parties has permitted every modern president to kill whomever he pleases in foreign countries without lawful declarations of war and to do so by going into a $17 trillion hole of debt, with no end in sight",assumption
112,Ho Ho No: School bans Santa from winter concert.,"""I am writing to you today to inform you of a change in our concert series this winter,"" wrote Principal Jennifer Ford in a letter to parents of the Peabody School in Cambridge",testimony
282,Where Afghan law fails women.,We have made important gains since 2001,assumption
249,Student arrested after teacher takes smartphone: Do our devices own us?,"our species has deployed mobile technology very quickly, in a very widespread manner",common-ground
13,Anxious Britain will find no succour in a TV election debate.,"Norman Tebbit told the Observer that we were going into the ""most awful election campaign that anyone can remember""",testimony
165,Try my new NHS helpline. You've nothing to lose but the will to live...,"If answer is ""Fine, thanks"", even as a reflex, hang up immediately",other
98,Germany: a beacon and a force for good in Europe.,"why it will successfully handle its own backlash against Islam, Pegida",assumption
194,The Paris attackers hijacked Islam but there is no war between Islam and the west.,They refer to Islam to justify what they did,assumption
30,"Buffalo schools spend $5.4 million on free plastic surgeries for teachers, despite massive deficit.",The district recently boasted that its graduation rate improved from a miserable 47.8 percent to 56 percent,statistics
225,The rise of Poland's urban movement.,"Local residents, on the other hand, insisted on building a park and a recreational area",anecdote
220,The real threat to the Indian state.,He publicly argued that the blood-bath was the result of a silent Bangladeshi demographic invasion straining resources and creating insecurity among Bodos,testimony
122,The Indian government won't stop my fight to save Mahan's forests.,Last year I discovered that a forged letter bearing my signature had been given to local media,anecdote
76,Eight ways to kill your enemies with kindness.,Or just find them a Sea Captain Date in the hope that you'll never have to see them again,assumption
66,The dawn of Kim Jong-un's rule.,Such hopes are misplaced,assumption
263,This UK antisemitism survey would have shocked my great uncle Alex.,"- all but saying: ""So swings and roundabouts, really.""",assumption
131,It's going to get worse for French Muslims.," perhaps it is about time to engage in a substantive debate on the ""war against terrorism"" revived by the West and the ""international community"", in the aftermath of the expansion of ISIL",assumption
300,Zero suicides is an admirable aim but it requires all-out change.,"To meet me, to let me introduce him to the small team at Calm, the volunteers, the campaigners, the people on the end of phones with someone's life in their hands",anecdote
222,Religious Freedom Day 2015: What our Founders understood about freedom of faith.,sacrificing their lives to birth a new place of liberty,assumption
17,Argentina: Growth at what price?,"Chevron, which has been condemned by courts in Ecuador for environmental damage, has pledged $1.5bn to develop it",anecdote
230,Russia is part of the solution and the problem.,"In his address condemning the ""pure cynicism"" of the West, he accused western governments of seeking to raise a new ""iron curtain"" around Russia and suggested that even if Crimea had not been annexed, the West would have come up with a different pretext to impose sanctions to contain Russia's resurgence",testimony
162,"Inside the National Gallery, a portrait of modern inequality.","As Tupe - Transfer of Undertakings (Protection of Employment) - regulations require, staff will transfer to a private company on the same terms",assumption
250,Sustaining Iran's regional ambitions at all costs.,whose revenues are largely dependent on oil,assumption
32,"If California truly leads the nation, we can elect a black woman to the US Senate.","California's internal public policy tussles - and its standard more-liberal- than-the-nation solutions - often help lead the rest of the nation and the world forward, be it on pollution standards, minimum wage increases, medical marijuana legalization, organic produce certification, healthcare access for the uninsured, public-private technology innovation such as iHubs and tax breaks that encourage local production of zero-emission Teslas, same sex marriage and wetlands protections such as the CA Coastal Act of 1976",assumption
181,"Obama's State of the Union fantasy world: We need a real national security strategy, VA reform.",this statement too just doesn't match up with reality,assumption
264,Ukraine: The opportunity of war.,the covert means do not work- as they did after the Orange revolution,assumption
84,Ferguson unrest: Make protesters pay for riot damage.,shaming might help prevent future violence,assumption
11,"Amnesia, not immigration, is our problem.",So there it is,other
262,Chances of a TV election debate? Choose between zilch and nada.,Who knew he had such a passion to debate with Natalie Bennett?,assumption
282,Where Afghan law fails women.,which are destroying the souls of our sisters across the country,assumption
51,Christians rally to defend fire chief who wrote 'anti-gay' book.,Cochran readily admits that he gave copies of the book to close associates within the department,anecdote
165,Try my new NHS helpline. You've nothing to lose but the will to live...,that won't clear up of its own accord?,assumption
235,Selma' sets off new fight over Martin Luther King's contested legacy.,"Blinded by racial bitterness, they suggest President Reagan signed the King holiday into law in 1983 as a token political gesture",assumption
197,Paris terror attack: Journalism is under fire.,Its offices were firebombed in 2011,anecdote
295,I witnessed the Peshawar massacre'.,Bullets went over our heads,anecdote
249,Student arrested after teacher takes smartphone: Do our devices own us?,Why else would so many people hesitate even to leave a room without taking their cellphones with them?,assumption
127,Iran talks: Moving beyond 'worn out' policies.,Iran talks: Moving beyond 'worn out' policies.,title
284,Where does your tax money go?,"Entertainment and advertisements now make up over 90 percent of the broadcasting time of these very profitable commercial stations, using our public airwaves",statistics
8,Is Afghanistan ready for the drawdown?,"This has inherited an economic crisis, characterised by a fiscal gap resulting from the failures of the previous government",assumption
279,Here's what happens when oil prices crash - and it's not pretty for producers.,"A few, such as Oman and Malaysia, were able to compensate for the price collapse by increasing production",anecdote
115,Fearmongering in Sydney.,"Such a situation can ""scare people out of being themselves"", he said in his first press briefing, before urging all Australians to go about their business as usual",testimony
209,Privatising Mexico's oil industry spells disaster.,"dealing with other oil producing countries with problematic states, such as Nigeria, would seem like a walk in the park",assumption
243,Sony scraps 'The Interview': Dark day for America when we cave over silly Seth Rogen comedy.,the Twitterverse welcomes it,assumption
63,Could Indiana Gov  Mike Pence be our next president?,Pence's education agenda includes a goal of taking children in underperforming schools and putting them in good schools,anecdote
267,UN marks Human Rights Day by promoting violation of human rights.,"you walk into the newly-renovated UN, which opened its doors in the fall after a $2 billion dollar spending spree (a quarter of which came from American taxpayers)",assumption
253,There is no debate about torture.,"""I would do it again in a minute,"" Cheney said on NBC's Meet the Press",testimony
225,The rise of Poland's urban movement.,The same fate threatened the mayor of Warsaw,assumption
139,Je Suis Charlie? Media need to stop covering for murderous Muslims.,Hollywood has been running scared from radical Islam for years - far worse than how it handled North Korea,assumption
172,North Korea: An 'act of war' over a movie?,"Those two countries are, of course, charter members of former President George W Bush's original ""Axis of Evil"" regimes that he and his allies wanted eliminated",assumption
20,Assad's crumbling presidency.,"whether ISIL or Hezbollah on the ground or Israel and US in the air, operate under flags that are not Syria's own",common-ground
72,Do we really need to cancel Christmas?,"""Whatever you do for the least of your brothers and sisters, you do for me.""",testimony
292,The widening war in the Middle East.," on as normal a Sunday as Damascus has experienced in the last few years, the Syrian regime released grainy photographs supposedly showing the trails of Israeli aircraft following a bombing run on targets in the area",anecdote
194,The Paris attackers hijacked Islam but there is no war between Islam and the west.,Two recently published books reflect the atmosphere: very negative and very demoralising,assumption
1,"2015: Beyond Obama, new Congress, we need a revival of the American spirit.","The two-plus generations born since the Sixties have been infused with the notion of entitlement, victimhood, envy and greed",assumption
240,The single reason why I celebrate Christmas.,My grandfather stopped drinking and partying and began attending church,anecdote
168,NFL 2015: Why I hope Ray Rice gets back into the game.,"""His help was probably the single biggest factor that led to the new anti-cyberbullying law named after our daughter, which has already saved lives. His empathy and support of our family in our worst hour will never be forgotten. I have four daughters, so I'm sensitive to domestic violence. I have no reason to believe he is a serial abuser, and think he should be given the chance to redeem himself. Maryland owes a lot to that man.""",testimony
126,Iran Sanctions Fight: Three myths no lawmaker should believe.,Senior U.S  officials have repeatedly stated that even without additional sanctions the chances for reaching an agreement with Iran is less that 50 percent,testimony
229,Is Russia overstretching itself?,Moscow has experienced with Crimea,assumption
205,"Pope Francis, Salman Rushdie and Charlie Hebdo.","Pope Francis, Salman Rushdie and Charlie Hebdo.",title
113,"Hollywood loves Obama, but does Obama love it back?","A Muslim girl crazy enough to bring home an infidel fiance is inviting a sequel: ""Guess Who's Having a Funeral""?",assumption
141,Our unkept promise to Afghan women.,meaning food shortages are likely to grow,assumption
144,Last minute Christmas shopping: Five things to avoid.,"They will pour through the already-picked-over selections to try and find ""the gift.""",assumption
179,Obama's big government policies don't create enough decent jobs.,"Premiums paid by businesses keep rising faster than inflation, further burdening U.S  competitiveness in international markets",assumption
285,"Now that white people have declared 'bae' over, black people can use it in peace.","Cultural appropriation at its best, steals, reduces, overuses and then disposes of words like so much bathwater",assumption
238,The rights of sex workers.,"A variation of the law has been implemented in other small countries, such as Norway, Iceland, and, most recently, Northern Ireland",anecdote
288,Why CIA interrogations report matters: Torture doesn't work and Americans need to know.,"For these reasons, in October, I joined 22 other security, interrogation and interviewing experts to issue a statement of principles in opposition to using torture",anecdote
9,"After Charlie Hebdo attack, the real war.",This includes the need to introduce real political reform in the countries that are of importance to the people that follow these extreme leaders,assumption
237,"Sexting may make porn stars of us all, but you don't have to be an Adonis.",faltering before forging ahead,assumption
252,"The Paris unity march shows we must protect freedom of expression, not curtail it further.",which is based in the city,anecdote
144,Last minute Christmas shopping: Five things to avoid.,But for last minute shoppers they become your two greatest nightmares,assumption
281,What I wish Obama had said in his State of the Union address.,I know how badly it works,assumption
246,Star Wars stereotypes: Not a force for good.,"The emirate washed its hands of one Hollywood venture, and still managed to get tarred with a very unpleasant brush",assumption
139,Je Suis Charlie? Media need to stop covering for murderous Muslims.,Every Islamic terror attack is like a grenade,assumption
237,"Sexting may make porn stars of us all, but you don't have to be an Adonis.",it will happen with gay culture,assumption
149,Let's recruit academically gifted students from poor neighborhoods the same way we seek out star athletes.,"So he attended Mississippi Valley State University, where he was finally recognized and went on to have one of the best football careers of all time",anecdote
56,CIA interrogations report: New Congress must tackle how to get intelligence right.,"In testimony he gave to the Congress, Helms denied under oath his agency had been involved in the overthrow of the Allende government in Chile, an action ordered by President Nixon",testimony
252,"The Paris unity march shows we must protect freedom of expression, not curtail it further.","That's why, as we marched, we saw Paris residents hanging models of pencils and banners carrying free speech slogans from their balconies",anecdote
278,What freedom of speech?,"Would the French government have reacted similarly if the murderers had killed workers at an ammunition factory, instead of at a satirical magazine?",assumption
